Disease,Patient_Count,Severity_Score,PPEkits,Beds,Doctors,Ventilator,Oxygen Cylinder
Heart_Failure,369,2,70,90,16,4,52
Heart_Failure,489,2,28,82,10,2,18
Pneumonia,377,2,142,72,4,8,22
Covid,380,1,77,8,5,1,6
Sepsis,155,1,42,22,9,0,7
Covid,69,1,11,49,9,1,26
Sepsis,489,4,340,136,12,0,96
Covid,78,2,70,86,18,8,28
Covid,58,1,63,41,3,4,17
Sepsis,366,3,156,132,9,0,18
Covid,394,3,87,105,24,12,27
Pneumonia,180,4,364,176,36,16,96
Severe_Trauma,265,2,132,20,14,4,28
Heart_Failure,340,3,129,87,9,3,18
Sepsis,334,3,33,69,9,6,54
Stroke,335,2,102,68,12,0,22
Covid,136,1,49,28,3,4,16
Severe_Trauma,360,2,168,70,10,4,16
Pneumonia,72,2,174,62,12,6,44
Severe_Trauma,160,2,114,18,12,6,14
Covid,171,4,372,80,4,8,24
Covid,327,2,32,20,18,2,16
Heart_Failure,110,2,138,60,8,2,16
Heart_Failure,452,3,54,63,12,12,42
Covid,301,3,174,105,6,6,45
Pneumonia,98,3,234,93,18,6,54
Stroke,410,3,117,60,21,0,21
Covid,429,1,80,40,3,4,18
Pneumonia,311,2,148,14,14,0,36
Severe_Trauma,63,2,84,30,18,4,54
Covid,55,4,300,84,12,16,24
Covid,435,4,196,128,32,4,40
Heart_Failure,386,3,276,147,6,6,84
Severe_Trauma,448,1,79,12,8,1,22
Severe_Trauma,194,3,219,54,6,3,51
Stroke,205,4,368,20,8,16,28
Heart_Failure,60,4,256,92,8,16,92
Pneumonia,296,1,21,27,7,2,24
Pneumonia,154,1,77,8,7,3,26
Severe_Trauma,267,4,256,140,12,12,108
Heart_Failure,63,2,70,44,8,4,46
Pneumonia,198,1,47,23,3,4,15
Covid,112,2,96,86,2,2,46
Heart_Failure,293,1,47,24,7,3,6
Sepsis,407,1,37,14,1,1,23
Severe_Trauma,131,1,97,49,8,2,20
Severe_Trauma,190,1,80,30,6,4,11
Covid,376,2,38,78,8,0,48
Heart_Failure,250,2,146,74,18,4,52
Pneumonia,348,1,34,7,4,0,27
Heart_Failure,183,4,228,112,24,0,112
Severe_Trauma,287,1,79,41,5,0,24
Stroke,154,3,87,126,12,3,33
Severe_Trauma,427,3,126,57,18,6,27
Pneumonia,231,3,225,141,21,9,18
Covid,208,3,156,36,6,9,45
Stroke,86,3,108,66,27,0,51
Pneumonia,304,2,162,10,6,4,42
Pneumonia,332,3,249,117,21,9,30
Covid,449,2,64,66,2,4,40
Covid,220,4,92,80,32,0,80
Pneumonia,217,1,99,48,6,2,29
Covid,79,1,65,33,4,4,26
Covid,156,4,172,140,16,12,28
Heart_Failure,343,3,147,15,9,3,63
Severe_Trauma,194,4,64,176,24,4,104
Severe_Trauma,390,4,280,164,8,8,72
Pneumonia,144,3,177,78,12,12,69
Covid,337,4,200,92,8,8,56
Severe_Trauma,129,3,234,123,21,12,21
Stroke,86,4,308,80,20,16,40
Severe_Trauma,304,4,280,136,8,4,60
Severe_Trauma,139,2,130,22,8,4,46
Covid,186,3,39,42,21,0,33
Pneumonia,230,4,364,84,24,4,104
Severe_Trauma,122,1,90,42,8,4,13
Pneumonia,335,3,141,120,15,0,84
Heart_Failure,77,3,270,60,12,0,57
Heart_Failure,218,2,148,30,2,8,44
Pneumonia,489,3,270,69,27,12,45
Covid,208,1,79,19,6,4,17
Severe_Trauma,376,4,228,148,12,12,44
Severe_Trauma,152,3,294,93,15,3,63
Stroke,215,1,28,38,9,4,8
Severe_Trauma,341,2,70,88,18,6,48
Pneumonia,135,2,170,28,18,8,54
Sepsis,415,3,207,99,21,6,60
Pneumonia,459,4,108,108,24,8,32
Sepsis,206,3,264,39,9,12,36
Stroke,180,1,44,39,9,3,29
Sepsis,317,4,252,20,4,8,40
Severe_Trauma,227,4,336,184,12,4,88
Stroke,225,3,246,54,12,3,18
Sepsis,485,2,76,84,4,6,44
Covid,176,2,190,60,14,6,22
Heart_Failure,143,1,29,41,4,3,15
Severe_Trauma,126,4,188,132,16,4,68
Sepsis,215,2,174,80,10,4,50
Sepsis,357,1,26,27,3,0,16
Heart_Failure,479,3,219,126,27,12,30
Covid,228,3,228,129,24,6,21
Heart_Failure,227,3,267,42,24,3,21
Covid,323,1,43,49,8,0,11
Stroke,62,4,108,52,4,16,108
Severe_Trauma,53,2,100,82,10,2,24
Heart_Failure,402,3,72,21,27,6,78
Heart_Failure,459,2,100,48,6,2,30
Sepsis,220,4,88,40,28,8,32
Covid,167,1,59,12,2,4,7
Severe_Trauma,499,2,124,92,12,4,26
Severe_Trauma,236,1,44,31,9,2,9
Stroke,183,1,56,48,8,0,6
Covid,145,1,62,7,8,2,10
Severe_Trauma,184,2,168,30,14,4,10
Heart_Failure,473,2,158,62,6,4,14
Severe_Trauma,65,4,164,128,28,0,44
Pneumonia,463,4,176,108,28,16,28
Sepsis,411,1,31,28,3,3,20
Severe_Trauma,119,2,108,96,12,8,54
Covid,72,2,86,52,18,4,32
Sepsis,395,2,156,22,2,6,42
Covid,288,1,76,47,4,2,13
Pneumonia,446,2,130,12,14,0,36
Sepsis,219,1,51,32,3,1,25
Pneumonia,165,1,87,42,7,2,13
Heart_Failure,258,1,92,16,9,1,29
Stroke,460,2,74,68,14,4,52
Stroke,236,4,252,72,20,12,92
Severe_Trauma,174,4,216,156,20,8,88
Sepsis,269,2,66,94,18,6,48
Stroke,157,3,69,72,21,6,75
Covid,183,3,138,57,3,0,81
Pneumonia,137,2,196,48,10,4,28
Pneumonia,484,1,35,10,5,0,26
Heart_Failure,325,2,154,90,18,8,50
Pneumonia,471,1,59,25,5,1,5
Severe_Trauma,109,1,73,48,4,4,12
Stroke,57,4,312,36,4,16,36
Sepsis,50,4,124,68,8,8,64
Severe_Trauma,66,2,48,96,6,2,20
Stroke,88,1,89,35,3,0,15
Stroke,339,3,267,81,24,12,27
Sepsis,101,4,312,20,16,16,64
Heart_Failure,236,2,196,26,4,4,20
Covid,290,4,164,108,12,12,104
Severe_Trauma,268,3,294,99,6,12,60
Heart_Failure,118,4,368,176,4,4,88
Heart_Failure,430,2,66,80,18,8,20
Severe_Trauma,254,2,140,56,4,8,10
Severe_Trauma,89,1,21,41,6,4,14
Pneumonia,154,3,195,105,6,3,81
Heart_Failure,473,4,336,24,28,16,56
Heart_Failure,284,2,162,36,12,0,28
Covid,91,4,392,20,8,0,48
Severe_Trauma,286,2,110,86,16,8,38
Stroke,458,1,91,18,8,2,20
Covid,61,1,47,13,5,0,29
Pneumonia,79,4,76,108,28,4,68
Pneumonia,86,4,216,64,32,12,48
Pneumonia,339,3,108,75,24,0,63
Severe_Trauma,99,3,219,78,15,6,84
Sepsis,61,4,384,152,36,12,40
Sepsis,438,3,96,51,6,9,84
Pneumonia,92,1,86,36,1,1,5
Severe_Trauma,141,4,344,132,28,12,36
Severe_Trauma,367,3,63,66,6,12,39
Stroke,189,2,146,80,18,6,10
Sepsis,422,1,94,39,8,3,23
Stroke,288,2,168,96,16,6,46
Heart_Failure,130,2,50,78,6,4,46
Severe_Trauma,80,4,384,196,32,12,104
Stroke,149,2,110,32,2,8,34
Covid,342,3,135,33,3,12,21
Heart_Failure,394,2,70,16,10,8,22
Severe_Trauma,401,4,208,180,12,0,56
Sepsis,217,2,134,40,2,2,26
Severe_Trauma,288,4,324,100,16,12,72
Covid,233,1,75,11,3,2,20
Sepsis,392,2,28,58,8,6,56
Heart_Failure,412,1,10,15,4,2,9
Sepsis,195,1,35,28,7,2,12
Sepsis,404,4,108,116,8,16,96
Sepsis,355,1,32,5,8,2,19
Stroke,428,2,50,32,2,2,48
Stroke,484,3,150,72,27,9,24
Stroke,61,4,360,164,36,8,64
Sepsis,481,1,89,14,1,3,8
Sepsis,145,4,152,172,12,4,96
Covid,424,2,134,54,12,6,14
Sepsis,261,2,24,14,4,8,16
Severe_Trauma,430,4,156,192,20,16,44
Sepsis,405,1,66,20,2,1,11
Covid,475,4,232,52,24,8,52
Covid,452,2,92,36,4,8,30
Heart_Failure,238,2,90,18,16,4,58
Heart_Failure,467,3,141,144,24,9,63
Stroke,286,1,89,48,1,2,21
Sepsis,215,2,46,76,16,2,46
Covid,413,3,105,30,24,6,39
Sepsis,56,3,219,24,6,3,78
Covid,402,2,126,14,6,6,12
Stroke,293,3,57,15,6,6,45
Stroke,408,1,41,36,1,1,12
Pneumonia,54,3,105,138,27,6,63
Severe_Trauma,89,2,40,84,16,8,42
Sepsis,186,3,231,45,24,12,78
Pneumonia,116,2,138,98,18,8,14
Pneumonia,497,2,74,36,4,0,34
Severe_Trauma,370,4,380,40,16,4,104
Sepsis,293,1,22,11,9,4,20
Heart_Failure,75,1,25,17,2,2,22
Severe_Trauma,489,4,112,76,12,4,64
Covid,377,3,189,141,9,3,24
Heart_Failure,443,1,60,15,3,0,29
Pneumonia,482,4,176,136,20,12,36
Covid,386,2,22,88,14,4,40
Sepsis,193,3,123,33,9,12,48
Severe_Trauma,308,2,134,54,2,6,26
Heart_Failure,303,4,292,84,24,16,56
Covid,91,4,56,128,8,12,72
Severe_Trauma,423,1,31,28,1,1,25
Heart_Failure,196,2,90,86,2,4,22
Heart_Failure,266,2,156,40,10,8,54
Sepsis,110,3,234,114,15,0,84
Pneumonia,473,4,160,92,24,12,84
Covid,296,2,38,88,6,2,34
Heart_Failure,480,4,276,48,20,8,80
Covid,326,4,380,76,28,4,64
Covid,142,3,72,111,12,9,51
Covid,288,4,76,44,20,4,28
Covid,393,2,154,38,18,0,26
Sepsis,266,3,36,72,3,3,18
Severe_Trauma,324,2,66,12,10,4,42
Sepsis,192,3,168,81,9,9,84
Covid,208,1,48,15,8,1,27
Pneumonia,121,2,54,88,6,2,12
Severe_Trauma,355,3,201,27,9,3,84
Stroke,229,3,246,114,6,0,69
Pneumonia,260,2,60,18,12,4,26
Sepsis,333,2,32,14,2,6,12
Covid,111,2,100,24,8,4,26
Pneumonia,147,1,98,11,2,1,5
Sepsis,315,1,82,41,3,3,24
Pneumonia,375,4,196,132,24,4,20
Stroke,282,2,22,26,2,6,58
Pneumonia,231,1,40,24,3,4,14
Stroke,343,4,64,40,4,4,96
Heart_Failure,120,1,87,25,8,4,29
Severe_Trauma,97,3,240,117,18,6,45
Covid,477,2,126,32,12,2,30
Severe_Trauma,362,1,34,13,4,1,11
Covid,95,4,180,148,4,0,20
Stroke,211,4,368,112,24,0,100
Covid,105,3,90,39,24,0,69
Severe_Trauma,342,1,67,47,9,1,27
Severe_Trauma,378,4,260,156,36,16,48
Severe_Trauma,320,3,108,147,15,6,30
Covid,424,4,68,120,36,8,84
Covid,338,2,62,32,2,2,46
Covid,380,1,27,27,2,0,10
Covid,203,3,81,123,24,6,18
Severe_Trauma,470,4,40,84,24,4,56
Heart_Failure,261,1,65,11,8,1,14
Heart_Failure,246,3,231,69,12,3,57
Covid,473,2,160,24,16,8,42
Pneumonia,244,1,25,12,5,0,10
Pneumonia,329,1,89,44,7,3,18
Stroke,259,2,50,62,4,0,46
Heart_Failure,121,2,156,76,2,0,42
Stroke,358,3,201,69,21,6,69
Severe_Trauma,397,1,88,16,8,3,14
Sepsis,124,3,69,63,27,3,42
Sepsis,478,2,94,58,2,8,30
Covid,64,4,168,112,8,12,48
Heart_Failure,305,4,148,164,36,8,24
Sepsis,293,3,294,147,15,6,63
Heart_Failure,315,3,63,33,18,6,33
Covid,494,4,300,20,28,8,112
Covid,57,1,74,25,8,4,7
Severe_Trauma,447,3,189,135,3,6,48
Stroke,205,4,316,184,4,12,20
Heart_Failure,435,3,45,39,15,6,48
Sepsis,161,1,30,39,8,2,25
Sepsis,296,4,288,68,24,4,92
Severe_Trauma,437,3,279,123,21,3,24
Sepsis,393,1,13,5,5,3,21
Severe_Trauma,478,2,192,30,14,0,24
Heart_Failure,198,3,42,45,3,3,87
Severe_Trauma,216,1,60,15,9,2,28
Stroke,350,4,244,24,32,8,92
Stroke,54,3,81,30,18,0,30
Stroke,379,2,182,16,18,8,56
Pneumonia,282,4,164,96,20,4,24
Covid,259,4,184,60,12,0,40
Severe_Trauma,476,2,60,14,18,4,16
Sepsis,469,2,184,92,6,8,44
Sepsis,177,1,30,41,9,2,21
Heart_Failure,270,2,192,46,16,4,52
Heart_Failure,156,4,252,124,36,16,112
Severe_Trauma,486,2,154,70,6,2,52
Sepsis,188,3,45,60,24,0,51
Severe_Trauma,102,4,136,80,8,4,64
Covid,92,2,50,20,8,0,32
Covid,314,3,57,18,27,3,60
Heart_Failure,495,4,228,192,8,16,60
Covid,307,4,144,68,8,8,92
Pneumonia,344,1,35,28,6,1,12
Pneumonia,139,2,22,12,16,8,34
Pneumonia,62,2,26,28,6,8,48
Stroke,493,2,164,34,18,8,24
Heart_Failure,55,2,184,88,16,4,58
Covid,495,4,320,136,16,4,52
Covid,215,1,29,40,9,3,18
Severe_Trauma,264,2,140,38,12,6,58
Stroke,264,3,225,54,24,6,39
Severe_Trauma,120,1,44,8,4,4,9
Sepsis,129,2,114,18,12,2,16
Heart_Failure,88,2,134,34,10,8,30
Heart_Failure,390,1,61,9,3,2,13
Covid,313,1,42,31,9,1,11
Sepsis,225,3,222,36,24,3,36
Severe_Trauma,197,3,219,75,3,0,45
Severe_Trauma,175,1,19,34,5,0,25
Covid,460,4,208,180,4,0,104
Severe_Trauma,314,2,126,76,6,2,32
Heart_Failure,482,3,84,48,27,9,87
Stroke,88,1,75,11,9,1,8
Severe_Trauma,404,2,60,12,12,6,42
Severe_Trauma,456,1,18,27,5,0,20
Severe_Trauma,203,4,328,36,4,12,20
Sepsis,74,4,160,180,16,0,116
Covid,296,3,138,135,12,3,27
Severe_Trauma,349,4,388,168,8,8,96
Sepsis,291,3,63,144,18,9,87
Sepsis,161,4,264,168,20,8,32
Covid,196,2,144,72,6,4,20
Covid,287,1,81,46,9,4,7
Heart_Failure,180,1,28,31,4,3,6
Severe_Trauma,211,4,212,84,28,16,44
Stroke,163,2,60,84,12,0,18
Severe_Trauma,400,2,26,84,18,4,32
Sepsis,470,4,240,144,8,12,68
Heart_Failure,309,4,212,80,4,4,96
Stroke,157,1,62,27,1,4,10
Sepsis,114,2,152,94,12,6,54
Severe_Trauma,110,4,320,116,20,12,88
Stroke,397,1,28,29,9,3,15
Heart_Failure,132,2,166,86,8,0,26
Severe_Trauma,69,1,19,9,7,2,18
Sepsis,448,4,244,32,8,0,112
Severe_Trauma,165,2,64,78,6,8,56
Stroke,471,3,108,33,9,12,27
Covid,417,3,90,93,24,3,24
Pneumonia,246,1,29,46,1,2,5
Severe_Trauma,329,1,53,42,8,0,26
Heart_Failure,180,2,144,76,18,0,20
Heart_Failure,94,2,198,44,2,8,24
Covid,225,4,280,96,28,4,20
Covid,432,2,140,36,10,2,58
Sepsis,173,1,96,32,7,2,19
Stroke,387,2,30,82,4,0,14
Sepsis,431,2,28,80,14,2,22
Sepsis,422,3,180,57,12,3,48
Pneumonia,433,3,162,141,3,6,57
Heart_Failure,304,2,180,82,4,2,30
Sepsis,243,4,68,188,28,4,88
Severe_Trauma,112,2,120,16,14,2,16
Pneumonia,279,4,104,160,4,4,116
Stroke,148,1,24,8,8,3,10
Covid,406,2,162,46,14,0,26
Stroke,167,4,212,192,36,16,56
Stroke,312,4,100,140,28,12,100
Pneumonia,101,1,74,14,1,2,13
Heart_Failure,444,3,96,147,12,0,36
Stroke,318,4,224,160,36,12,20
Stroke,488,1,90,25,5,1,19
Covid,487,4,64,172,20,12,100
Stroke,187,2,116,78,16,0,30
Stroke,389,1,15,40,2,1,14
Sepsis,177,3,111,81,6,3,75
Covid,197,4,352,76,24,4,84
Heart_Failure,66,2,180,74,16,2,28
Stroke,168,1,57,49,4,4,14
Stroke,254,1,74,19,2,2,11
Stroke,165,1,81,21,6,2,6
Severe_Trauma,375,4,356,24,32,12,32
Covid,463,1,40,6,1,3,10
Pneumonia,67,4,52,60,36,4,96
Severe_Trauma,242,3,261,75,3,3,54
Severe_Trauma,414,2,86,24,2,0,50
Heart_Failure,131,2,20,58,6,4,10
Covid,469,2,28,78,12,0,10
Heart_Failure,252,1,24,8,4,1,22
Sepsis,428,4,164,24,28,16,36
Severe_Trauma,50,2,142,68,4,8,52
Severe_Trauma,305,1,92,43,4,2,24
Sepsis,494,2,46,62,8,0,40
Pneumonia,486,4,264,184,28,4,36
Heart_Failure,296,1,23,33,4,1,28
Covid,154,4,240,144,16,4,64
Covid,55,1,41,24,7,1,7
Sepsis,309,2,56,76,6,8,14
Sepsis,140,4,124,148,28,0,72
Severe_Trauma,435,3,291,147,27,9,30
Severe_Trauma,85,4,316,164,16,16,56
Severe_Trauma,397,4,100,36,12,4,88
Pneumonia,460,1,31,36,3,2,18
Pneumonia,472,3,57,135,9,0,75
Stroke,193,1,14,6,8,3,5
Stroke,488,3,204,69,15,9,27
Pneumonia,77,2,94,44,16,4,40
Pneumonia,275,1,59,14,3,4,5
Pneumonia,322,2,156,64,4,2,36
Heart_Failure,117,4,84,44,28,12,64
Covid,104,3,105,93,21,6,51
Sepsis,89,1,65,49,7,4,16
Severe_Trauma,445,2,164,82,8,2,16
Covid,286,2,78,50,2,4,50
Sepsis,181,1,33,38,3,0,24
Stroke,251,1,80,6,8,1,17
Heart_Failure,285,3,219,39,27,3,21
Covid,324,4,188,108,28,4,112
Heart_Failure,467,4,68,188,12,0,32
Covid,365,1,84,45,7,4,25
Stroke,492,3,129,69,6,3,63
Pneumonia,370,3,36,135,3,6,66
Covid,313,2,34,36,16,6,12
Sepsis,54,1,73,12,1,4,29
Covid,269,4,100,136,24,12,20
Pneumonia,432,3,96,135,27,3,33
Severe_Trauma,157,2,154,92,12,6,46
Covid,283,2,142,32,18,4,52
Stroke,400,3,48,99,18,12,81
Heart_Failure,432,3,117,138,9,12,36
Pneumonia,460,4,224,68,8,8,28
Severe_Trauma,248,3,39,102,27,9,63
Stroke,493,4,216,64,36,16,24
Stroke,387,1,37,24,1,0,28
Severe_Trauma,469,2,172,42,6,0,36
Heart_Failure,491,1,26,16,7,4,25
Pneumonia,56,4,356,120,8,0,112
Covid,319,2,162,22,4,4,42
Pneumonia,62,2,112,88,6,8,36
Covid,301,4,60,60,20,0,68
Sepsis,413,1,26,7,2,2,8
Stroke,261,2,60,18,10,2,28
Covid,419,3,135,96,9,3,84
Stroke,328,2,44,68,18,2,20
Heart_Failure,121,4,320,68,28,4,32
Sepsis,418,1,10,48,3,2,29
Stroke,314,3,60,84,9,12,57
Sepsis,144,2,46,70,2,0,30
Heart_Failure,131,1,59,36,6,2,26
Pneumonia,155,3,33,108,9,12,84
Covid,282,2,110,50,10,4,36
Sepsis,490,3,261,15,3,12,36
Sepsis,302,3,102,132,12,0,15
Sepsis,452,3,189,129,24,0,60
Pneumonia,357,1,90,42,8,0,12
Stroke,266,1,26,30,8,2,19
Covid,133,2,82,66,16,0,54
Pneumonia,457,2,142,16,12,2,10
Pneumonia,92,2,102,16,2,0,16
Sepsis,422,3,141,60,24,0,57
Pneumonia,238,1,15,6,5,3,25
Stroke,206,1,13,40,2,0,26
Covid,314,2,170,50,18,2,24
Covid,388,1,88,26,1,2,29
Severe_Trauma,476,3,78,147,12,6,75
Severe_Trauma,202,3,162,93,9,0,78
Heart_Failure,259,1,74,46,7,4,17
Heart_Failure,440,1,64,46,2,4,7
Sepsis,271,1,58,25,3,3,5
Pneumonia,386,4,188,28,20,12,116
Covid,234,2,56,62,8,6,10
Severe_Trauma,193,2,184,98,2,0,14
Covid,362,1,67,21,3,3,27
Stroke,232,4,384,36,12,8,28
Heart_Failure,212,4,388,100,32,16,76
Covid,126,2,70,86,8,8,12
Heart_Failure,73,1,58,24,6,1,20
Sepsis,247,2,114,14,16,4,12
Sepsis,58,3,216,63,24,3,63
Pneumonia,466,4,172,140,16,0,108
Stroke,459,4,328,132,36,12,56
Stroke,256,2,40,70,6,6,54
Stroke,129,2,106,12,4,0,14
Pneumonia,475,1,66,29,1,1,10
Sepsis,167,2,174,50,12,4,58
Pneumonia,216,2,146,64,10,4,16
Pneumonia,257,1,79,10,1,1,20
Stroke,382,2,84,84,2,0,46
Covid,225,3,273,132,24,12,57
Covid,400,1,34,37,8,2,9
Sepsis,155,4,264,88,20,0,20
Pneumonia,421,2,114,38,18,2,54
Stroke,98,2,192,46,18,2,50
Pneumonia,462,1,72,23,9,1,23
Pneumonia,456,1,25,33,4,4,19
Stroke,314,1,65,24,3,1,28
Pneumonia,282,1,62,46,4,3,14
Sepsis,474,3,282,126,3,3,66
Heart_Failure,175,1,11,37,8,4,5
Severe_Trauma,495,4,360,104,12,8,36
Stroke,309,1,52,11,7,4,29
Heart_Failure,260,2,146,18,8,6,46
Severe_Trauma,497,2,106,80,12,8,44
Covid,301,1,61,16,2,4,10
Pneumonia,190,3,273,69,15,0,48
Covid,454,4,180,84,8,4,80
Pneumonia,135,2,46,24,2,2,34
Stroke,302,1,17,40,7,4,20
Stroke,484,3,78,99,12,9,21
Heart_Failure,59,4,252,112,20,0,92
Heart_Failure,470,1,96,40,4,2,14
Heart_Failure,179,2,96,14,6,2,30
Heart_Failure,78,3,231,102,3,6,54
Heart_Failure,111,2,160,68,14,4,34
Pneumonia,139,2,46,10,14,0,50
Pneumonia,91,2,132,10,6,0,44
Sepsis,347,1,39,17,9,0,5
Pneumonia,154,1,45,28,1,4,14
Stroke,56,4,392,168,24,0,108
Heart_Failure,235,3,189,108,9,9,33
Heart_Failure,387,1,57,34,5,1,28
Pneumonia,413,2,28,80,18,2,18
Covid,321,1,41,21,4,4,16
Covid,331,4,144,92,36,4,84
Severe_Trauma,68,4,388,108,12,0,56
Stroke,392,4,348,196,36,8,80
Stroke,212,3,204,147,12,3,30
Covid,59,3,93,105,21,3,33
Severe_Trauma,112,4,336,124,36,4,40
Sepsis,350,4,44,180,12,16,96
Pneumonia,357,4,396,60,32,16,32
Sepsis,82,4,356,88,32,4,72
Sepsis,256,1,94,9,6,3,18
Heart_Failure,187,3,258,24,21,9,48
Severe_Trauma,94,2,194,20,8,0,32
Stroke,387,4,164,116,12,16,40
Pneumonia,365,2,104,78,2,0,54
Covid,266,2,174,42,16,0,26
Sepsis,467,1,76,9,9,2,16
Heart_Failure,366,4,200,52,8,12,96
Heart_Failure,376,1,66,6,3,2,26
Stroke,484,3,297,42,18,3,57
Covid,68,3,111,36,6,6,69
Pneumonia,80,4,348,68,36,8,88
Severe_Trauma,116,4,132,48,16,12,72
Heart_Failure,263,3,273,30,12,3,51
Covid,154,1,26,48,8,0,9
Stroke,456,1,62,44,6,1,6
Stroke,427,3,180,75,21,9,66
Pneumonia,230,2,68,64,10,4,32
Covid,456,4,320,84,12,0,92
Covid,499,2,148,26,8,8,42
Sepsis,443,3,189,78,18,12,78
Pneumonia,374,4,360,44,36,12,72
Stroke,310,4,360,40,16,0,56
Severe_Trauma,138,2,44,86,6,0,42
Sepsis,144,2,96,46,16,4,54
Heart_Failure,432,4,116,144,32,8,60
Pneumonia,126,4,208,112,24,12,68
Sepsis,114,4,172,36,12,0,116
Pneumonia,91,1,56,28,4,3,17
Heart_Failure,117,1,65,12,9,4,6
Pneumonia,391,4,364,192,36,8,40
Sepsis,344,4,396,32,16,16,104
Pneumonia,490,1,71,28,7,1,29
Severe_Trauma,84,3,93,57,24,6,87
Heart_Failure,149,4,156,88,28,16,72
Pneumonia,252,2,136,34,14,4,40
Covid,149,1,80,29,6,4,26
Covid,247,3,249,30,18,3,60
Stroke,82,2,74,56,8,0,32
Heart_Failure,185,4,308,72,36,8,48
Pneumonia,406,1,78,19,8,4,6
Sepsis,491,2,136,52,6,0,26
Severe_Trauma,493,1,37,13,5,4,20
Stroke,306,4,120,52,12,16,40
Pneumonia,231,4,308,52,8,16,100
Sepsis,186,1,42,40,5,2,18
Heart_Failure,337,4,216,56,36,16,28
Sepsis,221,4,92,60,28,16,100
Severe_Trauma,95,1,33,41,6,0,15
Stroke,408,3,297,141,9,0,75
Severe_Trauma,464,3,162,66,15,3,87
Covid,144,4,368,124,8,12,80
Sepsis,50,4,264,44,28,8,104
Sepsis,155,4,272,36,8,16,76
Stroke,56,2,120,26,12,8,24
Severe_Trauma,482,1,59,32,6,3,17
Severe_Trauma,53,2,80,20,2,8,30
Heart_Failure,132,1,36,10,2,4,7
Pneumonia,451,4,76,152,20,12,72
Stroke,254,2,20,16,8,2,18
Heart_Failure,118,1,49,41,6,1,28
Sepsis,232,3,147,117,21,0,42
Heart_Failure,217,1,53,34,8,0,27
Covid,490,1,52,19,3,4,25
Stroke,380,1,87,40,7,4,28
Stroke,59,2,178,30,2,6,26
Heart_Failure,183,4,128,116,12,12,116
Sepsis,155,2,116,80,8,8,42
Heart_Failure,162,1,30,28,7,0,16
Covid,425,1,50,11,6,0,7
Sepsis,84,3,36,132,27,0,18
Severe_Trauma,435,1,62,13,7,3,19
Stroke,390,3,150,84,24,0,84
Severe_Trauma,252,2,54,14,12,6,30
Pneumonia,465,4,152,156,16,8,48
Heart_Failure,210,4,304,160,4,16,76
Sepsis,404,3,252,81,21,9,69
Pneumonia,234,4,96,36,12,12,88
Stroke,239,4,268,48,28,8,48
Heart_Failure,168,4,56,92,32,4,28
Heart_Failure,269,2,192,18,6,0,40
Heart_Failure,122,1,91,38,3,1,19
Sepsis,208,2,174,14,6,2,50
Covid,351,1,65,46,3,3,17
Heart_Failure,273,4,340,192,32,0,68
Stroke,343,3,219,54,18,3,24
Covid,239,1,77,37,6,4,29
Severe_Trauma,138,1,99,8,9,2,18
Covid,387,1,30,29,4,0,18
Covid,466,1,10,26,4,3,12
Covid,463,2,26,16,10,8,40
Stroke,254,2,46,76,2,6,28
Pneumonia,445,4,372,88,20,8,44
Severe_Trauma,216,4,296,132,28,12,108
Covid,67,1,39,6,8,0,6
Pneumonia,97,3,291,147,3,9,75
Sepsis,233,2,142,58,12,0,44
Severe_Trauma,414,3,177,78,6,0,30
Pneumonia,222,2,82,60,6,4,56
Stroke,355,3,231,135,3,3,87
Severe_Trauma,92,3,159,108,9,12,48
Severe_Trauma,443,4,76,144,36,8,68
Sepsis,265,3,228,69,15,12,30
Severe_Trauma,252,1,61,37,1,2,21
Stroke,372,2,122,58,16,2,20
Covid,363,3,243,96,12,12,45
Heart_Failure,249,1,46,11,9,3,16
Covid,401,3,114,54,6,9,45
Sepsis,385,2,44,66,4,6,10
Sepsis,274,1,53,41,5,2,20
Covid,350,3,105,39,9,9,78
Severe_Trauma,304,2,160,84,16,2,26
Severe_Trauma,308,1,87,26,7,3,8
Heart_Failure,487,3,174,33,12,9,36
Covid,80,4,60,156,8,16,36
Sepsis,248,1,45,7,1,0,5
Stroke,405,1,22,23,9,0,5
Severe_Trauma,55,4,56,100,8,0,20
Pneumonia,447,1,18,11,6,4,28
Severe_Trauma,58,1,87,47,9,1,12
Covid,72,4,176,80,12,0,104
Covid,258,1,97,10,4,3,21
Covid,439,4,140,168,36,12,84
Stroke,65,1,42,28,9,3,16
Covid,114,3,249,87,6,12,15
Covid,347,2,106,72,16,6,58
Heart_Failure,85,3,168,39,12,9,60
Covid,78,3,165,147,15,12,69
Pneumonia,91,2,164,40,12,6,34
Covid,105,3,168,48,12,12,81
Covid,276,1,74,43,6,1,24
Covid,406,3,180,120,21,3,36
Stroke,285,3,297,27,15,9,18
Severe_Trauma,343,4,280,192,12,8,44
Stroke,451,2,46,76,12,6,26
Pneumonia,321,3,189,87,18,12,24
Sepsis,324,2,188,98,8,0,22
Severe_Trauma,358,3,252,60,12,9,18
Stroke,497,3,156,78,21,12,54
Stroke,341,1,37,27,4,2,19
Heart_Failure,249,2,182,72,8,4,50
Sepsis,261,2,174,38,2,2,20
Covid,397,1,10,45,2,4,14
Severe_Trauma,418,4,292,40,12,0,72
Severe_Trauma,291,4,396,52,16,0,116
